Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
Maruti Swift,26.07,21.8,7,SUV,CNG,Manual,Excellent,Luxury,Grey
Hyundai Venue,28.34,10.7,7,Sedan,Electric,Automatic,Used,Luxury,Grey
Renault Triber,5.25,24.6,7,SUV,Electric,Automatic,Used,Sporty,Grey
Maruti Baleno,36.18,18.7,5,Hatchback,Electric,Manual,Used,Luxury,White
Toyota Innova,5.04,12.5,7,Sedan,Diesel,Manual,Excellent,Sporty,White
Tata Nexon,6.72,14.3,5,Sedan,Hybrid,Automatic,New,Luxury,Black
Renault Triber,21.6,25.2,5,MUV,Diesel,Manual,Used,Family,White
Honda City,7.26,23.4,5,MUV,Petrol,Manual,Excellent,Family,White
Tata Nexon,41.16,22.0,7,Hatchback,Electric,Manual,New,Luxury,Red
MG Hector,12.28,27.0,5,Sedan,Diesel,Automatic,Used,Sporty,Blue
Tata Nexon,42.84,10.8,5,Hatchback,CNG,Automatic,Excellent,Sporty,White
Kia Seltos,22.89,24.2,7,Hatchback,Electric,Automatic,Excellent,Luxury,Red
Hyundai Venue,33.89,24.1,4,SUV,Diesel,Manual,New,Sporty,White
Toyota Innova,28.71,14.2,4,SUV,Hybrid,Automatic,Excellent,Family,Blue
Hyundai Venue,9.87,22.4,7,Sedan,Petrol,Manual,New,Family,Red
Tata Nexon,29.79,26.0,4,Hatchback,CNG,Automatic,New,Luxury,Grey
Maruti Swift,35.85,25.7,4,SUV,Hybrid,Automatic,Used,Luxury,White
Renault Triber,35.13,25.5,5,Sedan,Hybrid,Manual,Excellent,Luxury,Black
Renault Triber,41.82,12.5,7,Hatchback,Petrol,Manual,New,Sporty,White
Hyundai Creta,22.2,20.7,4,SUV,Hybrid,Automatic,Used,Sporty,Black
Renault Triber,43.09,17.6,7,SUV,CNG,Manual,New,Luxury,Black
Maruti Baleno,26.45,15.0,5,Sedan,Electric,Manual,Used,Sporty,Red
Maruti Swift,40.75,10.1,4,MUV,Diesel,Automatic,New,Sporty,Blue
Toyota Innova,37.21,14.3,5,Sedan,CNG,Automatic,Excellent,Luxury,Black
Toyota Fortuner,12.95,25.8,7,Hatchback,Electric,Manual,Excellent,Family,Blue
MG Hector,4.21,10.6,7,SUV,CNG,Automatic,New,Luxury,Silver
Maruti Swift,12.48,27.9,4,Hatchback,Hybrid,Automatic,New,Luxury,Red
Hyundai Creta,4.68,17.0,7,Sedan,Petrol,Automatic,Excellent,Family,Blue
Kia Seltos,33.97,15.1,4,MUV,Hybrid,Manual,Excellent,Family,Black
Kia Seltos,32.38,10.5,7,SUV,Hybrid,Manual,New,Family,Black
Toyota Innova,38.77,25.8,5,MUV,CNG,Manual,Excellent,Luxury,Red
Honda City,23.5,23.7,7,SUV,Hybrid,Manual,Excellent,Family,Blue
Hyundai Venue,36.21,21.2,5,Hatchback,CNG,Manual,New,Family,Black
Mahindra Scorpio,10.36,28.0,4,Sedan,Hybrid,Manual,Excellent,Luxury,Red
Honda City,25.72,23.1,4,Sedan,Electric,Automatic,New,Family,Black
Honda City,44.76,10.9,4,MUV,Petrol,Automatic,New,Sporty,Grey
Tata Nexon,44.29,24.3,7,SUV,CNG,Automatic,New,Family,Red
Honda City,31.28,23.9,7,Hatchback,Petrol,Automatic,New,Family,Grey
Maruti Baleno,8.13,27.7,5,Hatchback,CNG,Automatic,Excellent,Luxury,Blue
Maruti Baleno,13.95,11.8,7,SUV,CNG,Automatic,New,Sporty,Silver
Toyota Fortuner,37.24,10.2,4,Hatchback,CNG,Manual,New,Sporty,Grey
Honda City,11.28,22.6,4,SUV,Petrol,Automatic,Excellent,Family,Red
Tata Nexon,11.62,24.2,5,Sedan,Diesel,Automatic,Used,Sporty,Silver
Kia Seltos,4.73,25.6,5,Sedan,Petrol,Automatic,Excellent,Sporty,Black
Hyundai Venue,41.77,24.8,7,Sedan,Petrol,Manual,Excellent,Family,Blue
Maruti Baleno,34.25,19.9,7,SUV,CNG,Manual,Excellent,Sporty,Silver
Toyota Innova,38.29,12.7,7,SUV,CNG,Automatic,Excellent,Sporty,Black
Renault Triber,42.36,13.1,5,SUV,Electric,Manual,New,Luxury,Silver
Honda City,24.83,15.3,4,SUV,Electric,Automatic,Used,Family,White
Maruti Baleno,15.38,13.3,5,Hatchback,Petrol,Automatic,Used,Sporty,Red
Honda City,25.35,21.1,5,Sedan,Diesel,Manual,New,Sporty,Black
Toyota Innova,24.84,15.1,7,SUV,Hybrid,Manual,Excellent,Sporty,Grey
Hyundai Creta,20.29,21.5,5,SUV,Electric,Automatic,Used,Sporty,Red
Renault Triber,42.47,26.0,5,Hatchback,Hybrid,Manual,Used,Luxury,Blue
Renault Triber,40.9,24.3,4,Hatchback,Hybrid,Manual,Used,Family,Red
Maruti Baleno,29.08,10.9,7,SUV,Electric,Automatic,New,Family,Grey
Maruti Swift,41.72,14.2,5,SUV,Hybrid,Manual,Used,Sporty,Blue
Hyundai Creta,30.74,17.0,4,Hatchback,Hybrid,Automatic,New,Sporty,Blue
Hyundai Venue,12.06,19.3,7,MUV,Petrol,Manual,Excellent,Luxury,Blue
MG Hector,36.34,11.4,7,Sedan,Electric,Manual,New,Family,Grey
Mahindra Scorpio,19.67,11.5,7,Sedan,Hybrid,Manual,Excellent,Luxury,Grey
MG Hector,12.46,23.0,5,Sedan,Hybrid,Manual,Used,Luxury,Black
Toyota Innova,27.99,13.5,7,Sedan,CNG,Automatic,Excellent,Family,Red
Renault Triber,14.52,21.2,4,Sedan,CNG,Manual,Used,Luxury,Blue
MG Hector,9.65,23.0,7,SUV,Electric,Automatic,New,Sporty,Blue
Hyundai Creta,41.0,13.3,5,Hatchback,Hybrid,Automatic,New,Sporty,Silver
Hyundai Venue,42.64,25.6,7,Sedan,Petrol,Automatic,Excellent,Family,Red
Maruti Swift,23.53,15.8,4,Sedan,CNG,Manual,Used,Luxury,Silver
Renault Triber,20.36,27.6,5,Sedan,CNG,Manual,Used,Sporty,Silver
Hyundai Venue,6.04,23.3,7,Hatchback,CNG,Manual,Excellent,Sporty,Black
Hyundai Creta,6.8,15.5,7,Sedan,Diesel,Automatic,New,Family,Black
Toyota Fortuner,26.82,23.4,4,SUV,Petrol,Manual,New,Family,Silver
MG Hector,25.96,27.2,7,Sedan,Diesel,Automatic,Excellent,Sporty,Grey
Kia Seltos,26.51,21.8,7,Hatchback,Electric,Automatic,New,Family,Grey
MG Hector,20.46,12.4,4,Sedan,Hybrid,Automatic,New,Luxury,Blue
Toyota Fortuner,31.39,19.7,5,SUV,Electric,Manual,Used,Family,Red
Maruti Swift,30.02,23.8,5,MUV,Diesel,Automatic,Excellent,Family,Silver
Toyota Innova,30.78,26.8,5,Sedan,Hybrid,Automatic,Excellent,Sporty,Red
Toyota Innova,36.84,14.1,4,SUV,Hybrid,Automatic,Excellent,Family,Silver
Toyota Fortuner,12.1,20.2,4,SUV,Hybrid,Automatic,Used,Luxury,Silver
Maruti Baleno,9.89,20.7,5,Sedan,Hybrid,Manual,New,Luxury,Black
Maruti Swift,18.33,12.9,5,MUV,Petrol,Manual,New,Sporty,Silver
Honda City,20.67,22.2,4,Hatchback,Diesel,Manual,Used,Sporty,Black
Toyota Fortuner,26.62,16.9,4,MUV,Hybrid,Manual,New,Sporty,Black
Maruti Swift,23.46,10.0,5,Hatchback,Electric,Automatic,Excellent,Family,Black
Maruti Baleno,12.87,24.3,4,Sedan,CNG,Manual,Used,Luxury,Blue
Toyota Fortuner,29.47,18.8,4,Sedan,CNG,Manual,Used,Family,Grey
Maruti Baleno,31.48,16.4,4,MUV,Hybrid,Automatic,Excellent,Family,White
Honda City,36.24,11.1,4,SUV,Diesel,Manual,Excellent,Sporty,Black
Kia Seltos,37.26,25.0,7,Hatchback,Electric,Automatic,Excellent,Sporty,Silver
MG Hector,30.43,11.0,5,SUV,CNG,Automatic,New,Family,Red
Hyundai Venue,38.51,19.0,5,SUV,Hybrid,Manual,New,Sporty,Black
Hyundai Creta,35.01,25.0,4,Hatchback,Hybrid,Manual,Used,Luxury,Black
Maruti Swift,42.29,21.8,5,MUV,Petrol,Manual,Used,Family,Black
Hyundai Creta,32.26,24.5,4,MUV,Petrol,Manual,New,Luxury,Red
Maruti Swift,37.57,17.9,7,SUV,CNG,Manual,New,Family,Blue
Toyota Innova,21.68,15.8,7,SUV,Hybrid,Automatic,Excellent,Family,Black
MG Hector,20.69,21.3,5,Hatchback,CNG,Automatic,Used,Family,Silver
Mahindra Scorpio,28.43,10.5,5,Sedan,Diesel,Manual,Excellent,Sporty,Grey
Toyota Innova,29.72,19.8,7,SUV,Electric,Automatic,Excellent,Luxury,Red
Hyundai Venue,10.42,10.2,4,MUV,CNG,Manual,Used,Sporty,Silver
Honda City,39.21,12.7,7,Sedan,Petrol,Automatic,Excellent,Luxury,Black
Tata Nexon,29.42,27.5,4,MUV,Petrol,Manual,New,Sporty,Black
Toyota Fortuner,4.72,20.5,7,MUV,CNG,Automatic,Excellent,Luxury,Black
Toyota Innova,23.08,24.5,5,MUV,Electric,Automatic,Excellent,Family,White
Tata Nexon,43.76,25.2,4,Sedan,Diesel,Automatic,Used,Sporty,Silver
Tata Nexon,26.13,11.6,7,MUV,Electric,Manual,New,Luxury,Red
MG Hector,16.11,11.8,4,SUV,Diesel,Automatic,New,Sporty,Grey
Tata Nexon,18.74,23.2,7,Hatchback,Hybrid,Automatic,Used,Sporty,Blue
MG Hector,14.4,12.8,5,SUV,Electric,Manual,Excellent,Family,Black
Kia Seltos,13.22,16.9,4,Hatchback,Petrol,Automatic,New,Family,Black
Mahindra Scorpio,21.85,19.1,4,SUV,Hybrid,Automatic,Excellent,Luxury,Blue
Kia Seltos,40.36,23.0,5,SUV,Hybrid,Automatic,Excellent,Family,Black
Tata Nexon,7.96,12.8,5,MUV,Diesel,Automatic,Excellent,Luxury,Blue
Mahindra Scorpio,37.06,24.7,5,MUV,Petrol,Automatic,Used,Luxury,White
Kia Seltos,29.57,19.6,7,Hatchback,CNG,Manual,Used,Luxury,Black
Maruti Swift,17.58,15.9,4,Hatchback,Petrol,Manual,Excellent,Sporty,Silver
Hyundai Venue,15.52,21.3,7,Hatchback,Diesel,Manual,Excellent,Luxury,Red
Toyota Innova,33.03,14.0,4,Sedan,CNG,Manual,Excellent,Sporty,Blue
Hyundai Creta,29.02,22.4,7,SUV,Electric,Manual,New,Sporty,Blue
Maruti Baleno,28.33,25.8,4,Hatchback,Electric,Automatic,Used,Luxury,Blue
Hyundai Creta,16.33,13.6,5,SUV,Hybrid,Automatic,Used,Sporty,Red
Renault Triber,11.58,22.1,5,MUV,Diesel,Manual,Excellent,Luxury,White
Kia Seltos,32.8,24.6,4,MUV,Hybrid,Manual,Used,Sporty,White
MG Hector,12.65,24.1,7,Hatchback,Electric,Manual,Excellent,Luxury,White
Toyota Fortuner,7.74,22.7,5,SUV,Diesel,Manual,Used,Luxury,White
Toyota Innova,30.58,15.4,7,Hatchback,Electric,Automatic,Excellent,Luxury,Black
Tata Nexon,16.34,18.6,5,SUV,Diesel,Automatic,Used,Sporty,Grey
Maruti Baleno,11.33,18.8,5,SUV,Petrol,Automatic,Used,Sporty,Silver
Hyundai Venue,36.39,23.5,5,SUV,Hybrid,Automatic,New,Sporty,Grey
Toyota Innova,12.18,10.5,4,SUV,Hybrid,Manual,Excellent,Luxury,Blue
Maruti Baleno,17.87,20.0,5,MUV,Electric,Manual,New,Family,Red
Maruti Swift,12.33,25.5,4,Hatchback,CNG,Manual,New,Family,Silver
Mahindra Scorpio,19.55,17.9,7,MUV,CNG,Automatic,Excellent,Sporty,Silver
Maruti Swift,11.26,27.4,7,Sedan,Electric,Automatic,Used,Family,Red
Toyota Innova,24.94,21.7,5,SUV,Hybrid,Manual,Excellent,Sporty,Grey
MG Hector,28.03,11.4,4,SUV,Hybrid,Manual,Excellent,Family,Red
Maruti Baleno,37.31,15.5,5,Hatchback,Hybrid,Automatic,New,Sporty,Black
Toyota Fortuner,41.2,21.6,7,Sedan,Electric,Manual,New,Luxury,Black
MG Hector,33.15,27.4,4,Hatchback,CNG,Automatic,New,Luxury,Silver
Toyota Fortuner,33.27,13.3,4,SUV,Electric,Automatic,Used,Sporty,Blue
MG Hector,17.42,27.4,4,Sedan,CNG,Automatic,New,Family,Blue
Toyota Fortuner,24.62,23.2,7,MUV,Diesel,Manual,Excellent,Family,White
Hyundai Creta,23.41,23.4,7,Sedan,Hybrid,Automatic,Used,Sporty,Black
Honda City,9.47,21.0,4,Sedan,CNG,Automatic,Excellent,Family,Red
Maruti Swift,23.21,19.8,7,MUV,CNG,Automatic,Used,Sporty,Silver
Renault Triber,35.5,18.7,7,Sedan,Petrol,Manual,Excellent,Sporty,Black
Toyota Innova,24.3,15.6,4,Sedan,CNG,Manual,Excellent,Luxury,Black
Renault Triber,28.19,27.6,5,SUV,Diesel,Manual,New,Luxury,Blue
Maruti Baleno,19.37,18.0,4,SUV,Petrol,Manual,Used,Family,Silver
Hyundai Creta,11.95,22.8,5,Sedan,Petrol,Manual,Used,Sporty,Silver
Toyota Fortuner,41.79,16.5,4,Hatchback,CNG,Manual,Used,Family,Black
Toyota Fortuner,29.62,23.8,4,Sedan,Electric,Automatic,New,Family,Silver
Toyota Fortuner,22.64,22.6,5,Hatchback,Petrol,Automatic,Excellent,Family,Grey
Toyota Fortuner,36.27,22.7,7,Sedan,Petrol,Automatic,New,Sporty,Black
MG Hector,11.22,16.4,7,Hatchback,Hybrid,Manual,Used,Sporty,Black
Mahindra Scorpio,30.69,14.7,7,Hatchback,Petrol,Manual,New,Sporty,Red
Maruti Baleno,31.46,24.4,7,Hatchback,CNG,Manual,Used,Luxury,Grey
Maruti Baleno,6.68,23.0,5,Sedan,Diesel,Manual,Excellent,Luxury,Silver
Hyundai Creta,36.8,17.7,4,Hatchback,Electric,Automatic,Excellent,Sporty,Grey
Honda City,27.74,18.3,5,MUV,Electric,Manual,New,Luxury,White
Kia Seltos,14.64,25.8,7,Sedan,Diesel,Manual,Used,Luxury,Grey
Tata Nexon,20.2,16.2,4,MUV,Electric,Manual,Used,Sporty,Blue
Tata Nexon,40.78,25.2,4,Sedan,CNG,Automatic,Excellent,Sporty,Silver
Honda City,40.84,12.2,5,SUV,Hybrid,Manual,Excellent,Sporty,Blue
Tata Nexon,33.11,19.4,4,Sedan,CNG,Automatic,New,Luxury,Silver
Hyundai Venue,42.0,13.3,4,Sedan,Petrol,Manual,Used,Family,Blue
Renault Triber,14.77,11.1,7,Hatchback,CNG,Automatic,Excellent,Family,Red
Hyundai Venue,30.51,19.7,7,SUV,CNG,Automatic,New,Family,Grey
Maruti Baleno,8.78,26.6,4,Hatchback,Petrol,Manual,Excellent,Sporty,Blue
Maruti Swift,43.58,19.1,7,SUV,CNG,Automatic,New,Luxury,Blue
Hyundai Venue,4.92,26.4,5,Hatchback,Diesel,Manual,Excellent,Sporty,White
Kia Seltos,16.06,19.5,7,MUV,Diesel,Manual,Used,Luxury,Grey
Hyundai Venue,24.29,14.5,4,Hatchback,CNG,Automatic,New,Luxury,Black
Kia Seltos,25.48,17.4,7,SUV,Diesel,Manual,New,Sporty,Silver
Maruti Swift,44.09,12.5,7,Sedan,Hybrid,Automatic,Used,Luxury,White
Honda City,15.41,16.3,5,Sedan,CNG,Automatic,Excellent,Sporty,Blue
Kia Seltos,39.76,15.5,4,MUV,Hybrid,Manual,New,Luxury,Silver
Honda City,15.45,17.4,5,Sedan,Electric,Automatic,Used,Sporty,White
Hyundai Venue,32.97,15.9,5,SUV,Hybrid,Manual,New,Luxury,Black
Toyota Innova,14.94,24.7,4,Sedan,Electric,Manual,Excellent,Luxury,Silver
Tata Nexon,32.84,19.7,4,Hatchback,CNG,Automatic,Used,Luxury,Blue
Renault Triber,40.73,18.9,4,SUV,CNG,Manual,Excellent,Family,Grey
Tata Nexon,29.52,11.2,4,Hatchback,Diesel,Manual,Used,Luxury,Red
Mahindra Scorpio,29.45,18.6,4,Sedan,Diesel,Manual,Excellent,Sporty,Red
MG Hector,24.14,24.3,5,MUV,CNG,Manual,Used,Sporty,Blue
Kia Seltos,27.15,10.5,5,SUV,Electric,Manual,New,Luxury,Red
Hyundai Creta,13.19,13.7,7,Hatchback,Electric,Manual,Excellent,Family,Silver
Maruti Swift,41.61,23.7,5,Sedan,Electric,Manual,New,Luxury,Black
Renault Triber,30.25,16.7,5,Sedan,Electric,Manual,New,Family,Grey
Kia Seltos,4.77,21.1,5,MUV,Petrol,Automatic,Excellent,Sporty,Blue
Maruti Baleno,11.09,25.9,7,SUV,CNG,Manual,Used,Family,Silver
Renault Triber,33.18,25.5,4,SUV,Petrol,Manual,Used,Family,White
Toyota Fortuner,32.84,27.9,7,MUV,Hybrid,Manual,Used,Luxury,White
Hyundai Venue,23.43,21.1,7,MUV,Electric,Manual,Excellent,Family,Black
Maruti Baleno,37.9,14.1,7,Hatchback,CNG,Manual,Excellent,Luxury,Silver
Hyundai Venue,40.83,21.9,5,MUV,Petrol,Manual,New,Luxury,Grey
Kia Seltos,25.73,26.2,5,Hatchback,Petrol,Manual,New,Luxury,Grey
Toyota Fortuner,40.43,18.6,7,Sedan,Petrol,Automatic,Excellent,Sporty,White
Maruti Baleno,30.61,16.9,5,Sedan,Hybrid,Manual,New,Sporty,White
Tata Nexon,11.62,25.6,5,Hatchback,Hybrid,Manual,Used,Family,Grey
Toyota Innova,36.57,18.9,7,Hatchback,Petrol,Automatic,Excellent,Luxury,Blue
Kia Seltos,40.74,23.7,4,Sedan,Petrol,Manual,Used,Luxury,Blue
Maruti Baleno,12.42,17.0,7,Hatchback,Electric,Manual,Used,Family,Blue
Toyota Innova,27.75,27.0,4,Sedan,CNG,Manual,Excellent,Sporty,Silver
Honda City,29.78,25.9,7,MUV,Hybrid,Automatic,New,Sporty,Red
Toyota Innova,26.11,14.3,7,MUV,Hybrid,Manual,Excellent,Family,Silver
Maruti Swift,40.01,25.3,7,Hatchback,Petrol,Automatic,Excellent,Sporty,White
Maruti Swift,24.47,18.2,4,SUV,Hybrid,Automatic,Used,Luxury,Grey
Renault Triber,41.01,20.1,7,MUV,Hybrid,Manual,New,Family,Red
Tata Nexon,25.89,28.0,5,MUV,Diesel,Manual,Excellent,Family,Black
Mahindra Scorpio,35.67,20.3,5,MUV,Petrol,Manual,New,Luxury,Grey
Maruti Baleno,23.53,12.3,4,MUV,Hybrid,Manual,New,Sporty,Red
Hyundai Venue,34.37,25.6,4,Sedan,Electric,Automatic,New,Sporty,Grey
Toyota Fortuner,41.18,24.9,4,Hatchback,CNG,Automatic,New,Family,Red
Tata Nexon,42.21,22.7,7,SUV,CNG,Automatic,New,Family,Blue
Mahindra Scorpio,29.43,24.4,7,SUV,Hybrid,Automatic,Used,Family,Red
Kia Seltos,31.4,20.2,4,Hatchback,Diesel,Manual,Excellent,Sporty,Blue
Kia Seltos,25.48,15.5,5,Hatchback,Petrol,Automatic,New,Family,Black
Toyota Innova,27.68,14.0,5,Hatchback,CNG,Manual,Excellent,Family,Silver
Toyota Fortuner,19.11,27.4,4,MUV,Hybrid,Automatic,Used,Sporty,Blue
Toyota Innova,40.8,26.1,4,Sedan,Electric,Automatic,Excellent,Luxury,Silver
MG Hector,39.37,11.5,7,MUV,Hybrid,Manual,Used,Family,White
Mahindra Scorpio,42.26,25.7,4,Hatchback,Hybrid,Manual,Used,Luxury,Grey
Renault Triber,43.75,17.0,5,Sedan,Electric,Manual,Excellent,Luxury,Blue
Honda City,25.04,10.1,7,Sedan,Hybrid,Manual,New,Family,Silver
Maruti Baleno,16.39,23.5,4,SUV,Petrol,Automatic,Excellent,Family,Silver
Honda City,42.92,15.2,7,Sedan,CNG,Automatic,New,Sporty,Black
Maruti Baleno,17.83,25.0,5,Sedan,Diesel,Automatic,Excellent,Family,Black
Toyota Fortuner,10.78,13.2,4,MUV,CNG,Manual,Used,Family,Grey
Toyota Innova,27.43,26.6,7,SUV,Electric,Manual,Excellent,Family,White
Renault Triber,4.54,20.7,5,MUV,Diesel,Automatic,New,Sporty,Red
Hyundai Venue,16.9,12.1,4,Hatchback,Diesel,Manual,Excellent,Family,Blue
Hyundai Creta,18.02,12.9,4,Sedan,Diesel,Manual,Used,Luxury,Red
Maruti Swift,25.85,22.4,4,Hatchback,Electric,Manual,Excellent,Luxury,White
Hyundai Creta,16.4,16.2,5,Sedan,Electric,Automatic,Excellent,Sporty,Grey
Mahindra Scorpio,9.73,24.9,5,Sedan,Hybrid,Manual,Excellent,Family,Red
Honda City,8.35,11.2,4,Hatchback,Petrol,Automatic,Used,Luxury,Grey
Toyota Innova,17.64,18.4,5,Sedan,Petrol,Manual,Excellent,Family,White
Renault Triber,15.94,18.1,4,MUV,Electric,Manual,Used,Luxury,White
Hyundai Venue,35.17,13.0,7,SUV,Hybrid,Manual,New,Family,Black
Renault Triber,9.22,26.9,4,Sedan,CNG,Manual,Used,Luxury,Red
Kia Seltos,17.3,25.0,5,SUV,CNG,Manual,Used,Luxury,White
Hyundai Creta,28.86,15.3,4,Sedan,Electric,Automatic,New,Sporty,Black
Honda City,27.94,23.3,5,MUV,CNG,Automatic,Used,Family,Red
Maruti Swift,28.48,21.2,4,MUV,CNG,Automatic,Excellent,Sporty,White
Tata Nexon,38.64,15.8,5,SUV,Electric,Automatic,New,Family,Blue
Hyundai Creta,15.38,12.2,7,Sedan,CNG,Manual,Excellent,Family,White
Tata Nexon,38.03,19.4,4,SUV,Hybrid,Manual,Used,Family,Blue
Honda City,24.27,13.2,4,MUV,Electric,Automatic,New,Luxury,White
Hyundai Creta,33.31,18.9,5,Sedan,Hybrid,Automatic,New,Family,Grey
Hyundai Venue,38.75,19.3,4,Sedan,Petrol,Automatic,Excellent,Sporty,White
Kia Seltos,5.16,15.1,7,Hatchback,Hybrid,Manual,Used,Sporty,White
Renault Triber,35.2,10.3,5,Hatchback,Diesel,Automatic,Used,Sporty,Grey
Renault Triber,20.92,19.8,4,SUV,Diesel,Manual,Used,Sporty,White
Honda City,18.49,13.5,5,SUV,CNG,Manual,New,Luxury,White
Mahindra Scorpio,14.49,20.1,7,Hatchback,Petrol,Automatic,Excellent,Luxury,Black
Hyundai Venue,16.09,13.1,4,Hatchback,CNG,Automatic,New,Family,Silver
Maruti Swift,9.27,12.0,5,MUV,Petrol,Manual,Excellent,Family,Grey
Mahindra Scorpio,41.18,11.0,5,SUV,Petrol,Automatic,Used,Sporty,Black
Tata Nexon,20.49,24.1,5,SUV,Electric,Automatic,Excellent,Luxury,Silver
Maruti Swift,29.38,14.9,4,Sedan,Petrol,Manual,Excellent,Sporty,Grey
Honda City,13.13,16.2,4,MUV,Electric,Manual,Excellent,Family,Grey
MG Hector,21.15,17.9,4,Hatchback,Petrol,Manual,New,Family,Red
Hyundai Creta,26.58,20.5,7,MUV,Petrol,Manual,Excellent,Sporty,White
Toyota Fortuner,6.98,22.8,7,Hatchback,Diesel,Automatic,Excellent,Sporty,Black
MG Hector,11.08,16.5,4,Hatchback,Petrol,Manual,New,Luxury,Red
Mahindra Scorpio,23.48,19.1,4,Hatchback,Electric,Automatic,Used,Luxury,Red
Hyundai Venue,7.75,21.1,7,Hatchback,Electric,Automatic,Used,Luxury,Silver
Kia Seltos,8.4,26.5,5,Hatchback,Diesel,Manual,New,Luxury,Silver
Hyundai Creta,18.48,21.6,5,Sedan,Diesel,Automatic,New,Sporty,Black
Kia Seltos,25.38,14.7,7,Sedan,Hybrid,Automatic,New,Luxury,Red
Hyundai Creta,33.16,22.3,7,MUV,Petrol,Automatic,Excellent,Sporty,Black
Hyundai Venue,4.78,18.8,4,SUV,CNG,Automatic,New,Luxury,Grey
Maruti Swift,43.9,21.2,7,Sedan,Diesel,Automatic,Used,Sporty,White
Renault Triber,9.38,22.5,5,MUV,Diesel,Manual,New,Luxury,White
Maruti Baleno,44.19,20.8,5,SUV,Hybrid,Automatic,Excellent,Family,Blue
MG Hector,29.97,24.1,7,MUV,Petrol,Automatic,Used,Family,Red
Renault Triber,28.16,25.5,4,SUV,Hybrid,Automatic,Used,Family,Red
Maruti Baleno,14.07,22.2,7,SUV,Hybrid,Automatic,Excellent,Luxury,Silver
Hyundai Creta,18.05,18.5,7,MUV,CNG,Manual,Used,Sporty,Black
Toyota Fortuner,24.97,12.0,7,SUV,Diesel,Manual,New,Sporty,Black
Honda City,7.86,14.7,7,MUV,Electric,Manual,Used,Luxury,Grey
Honda City,12.46,10.6,4,Sedan,Diesel,Automatic,New,Sporty,White
Hyundai Creta,31.67,19.5,4,Sedan,Diesel,Automatic,Excellent,Sporty,Grey
Renault Triber,4.73,25.1,7,MUV,Hybrid,Automatic,New,Family,White
Kia Seltos,34.75,18.2,4,MUV,Diesel,Manual,Used,Luxury,Red
Hyundai Venue,37.81,11.4,5,SUV,Hybrid,Manual,Excellent,Sporty,Red
Kia Seltos,31.86,14.1,5,Hatchback,Electric,Manual,New,Family,Blue
Hyundai Creta,24.07,21.1,7,SUV,Petrol,Automatic,New,Sporty,White
Kia Seltos,18.15,14.5,4,MUV,Electric,Automatic,Excellent,Family,Black
Tata Nexon,8.96,13.0,4,Sedan,CNG,Automatic,Excellent,Family,Red
Hyundai Venue,43.72,19.0,5,Hatchback,Hybrid,Automatic,New,Sporty,Black
Honda City,29.93,13.0,7,Hatchback,CNG,Automatic,New,Luxury,Silver
Hyundai Venue,23.62,11.2,4,Hatchback,Hybrid,Automatic,Excellent,Family,Silver
Renault Triber,30.25,26.3,5,SUV,Electric,Manual,Used,Luxury,Grey
